id	polarity	polarity_orig	sentence	polex	polex+targets	polex_span	polex+targets_span	target_spans	split
f02 27 00	positive	positive	- That gain in F-Series pricing helped boost Ford ' s overall average transaction price by $ 2,100 in May , versus a roughly $ 500 average increase for the industry as a whole .	boost	boost Ford	(7, 7)	(7, 8)	[(8, 8)]	train
f02 27 01	positive	positive	- That gain in F-Series pricing helped boost Ford ' s overall average transaction price by $ 2,100 in May , versus a roughly $ 500 average increase for the industry as a whole .	average increase	Ford ' s overall average transaction price by $ 2,100 in May , versus a roughly $ 500 average increase	(26, 27)	(8, 27)	[(8, 8)]	train
f02 28 00	positive	positive	- Ford ' s highly profitable SUVs had a good month , with solid gains for the Edge up 11 % , Explorer up 21 % , and big Expedition up 14 % .	profitable	Ford ' s highly profitable	(5, 5)	(1, 5)	[(1, 1)]	train
f02 28 01	positive	positive	- Ford ' s highly profitable SUVs had a good month , with solid gains for the Edge up 11 % , Explorer up 21 % , and big Expedition up 14 % .	gains	gains for the Edge	(14, 14)	(14, 17)	[(16, 17)]	train
f02 28 02	positive	positive	- Ford ' s highly profitable SUVs had a good month , with solid gains for the Edge up 11 % , Explorer up 21 % , and big Expedition up 14 % .	gains	gains for the Edge up 11 % , Explorer	(14, 14)	(14, 22)	[(22, 22)]	train
f02 28 03	positive	positive	- Ford ' s highly profitable SUVs had a good month , with solid gains for the Edge up 11 % , Explorer up 21 % , and big Expedition up 14 % .	gains	gains for the Edge up 11 % , Explorer up 21 % , and big Expedition	(14, 14)	(14, 29)	[(29, 29)]	train
f02 29 00	positive	positive	Sales of Ford-brand SUVs rose 4.2 % ; only the compact Escape down 10 % and the police version of the Explorer down 2 % lagged .	Sales	Sales of Ford-brand SUVs	(0, 0)	(0, 3)	[(1, 3)]	train
f02 29 01	negative	negative	Sales of Ford-brand SUVs rose 4.2 % ; only the compact Escape down 10 % and the police version of the Explorer down 2 % lagged .	Sales of Ford-brand SUVs rose 4.2 % ; only the compact Escape down	Sales of Ford-brand SUVs rose 4.2 % ; only the compact Escape	(0, 12)	(0, 11)	[(9, 11)]	train
f02 29 02	negative	negative	Sales of Ford-brand SUVs rose 4.2 % ; only the compact Escape down 10 % and the police version of the Explorer down 2 % lagged .	lagged	lagged	(25, 25)	(25, 25)	[]	train
f02 30 00	positive	positive	- Lincoln sales rose 44.9 % , paced by a 17 % gain for the Escape ' s upscale twin , the MKC crossover .	sales rose	Lincoln sales rose	(2, 3)	(1, 3)	[(1, 1)]	train
f02 30 01	positive	positive	- Lincoln sales rose 44.9 % , paced by a 17 % gain for the Escape ' s upscale twin , the MKC crossover .	gain	gain for the Escape ' s upscale twin , the MKC crossover	(12, 12)	(12, 23)	[(13, 23)]	train
f02 31 00	positive	positive	Lincoln sold 1,061 examples of its new Continental sedan , more than doubling the year-ago result of its now-departed predecessor , the MKS .	sold	Lincoln sold 1,061 examples of its new Continental sedan	(1, 1)	(0, 8)	[(4, 8), (0, 0)]	train
f02 31 01	positive	positive	Lincoln sold 1,061 examples of its new Continental sedan , more than doubling the year-ago result of its now-departed predecessor , the MKS .	doubling	doubling	(12, 12)	(12, 12)	[]	train
f02 31 02	positive	positive	Lincoln sold 1,061 examples of its new Continental sedan , more than doubling the year-ago result of its now-departed predecessor , the MKS .	now-departed	Lincoln sold 1,061 examples of its new Continental sedan , more than doubling the year-ago result of its now-departed predecessor , the MKS	(18, 18)	(0, 22)	[(0, 0), (22, 22)]	train
f02 32 00	positive	positive	- Ford ' s inventories are in very good shape : Including vehicles in transit to dealers , the Blue Oval had 72 days ' worth of vehicles in inventory at the end of May , down from 83 days ' worth at the end of April .	inventories	Ford ' s inventories	(4, 4)	(1, 4)	[(1, 1)]	train
f02 32 01	positive	positive	- Ford ' s inventories are in very good shape : Including vehicles in transit to dealers , the Blue Oval had 72 days ' worth of vehicles in inventory at the end of May , down from 83 days ' worth at the end of April .	inventory at the end of May , down	inventory at the end of May , down	(29, 36)	(29, 36)	[]	train
f02 33 00	positive	positive	Not all of the news was positive , however :	all of the news was positive	all of the news was positive	(1, 6)	(1, 6)	[]	train
f02 34 00	negative	negative	- Sales of Ford-brand cars continued to slip in May .	Sales of Ford-brand cars continued to slip	Sales of Ford-brand cars	(1, 7)	(1, 4)	[(3, 3), (3, 4)]	train
f02 35 00	negative	negative	The group was down 11 % from a year ago , with big declines for the small Fiesta down 32 % , midsize Fusion down 12 % , and sporty Mustang down 23.5 % , mostly due to a decline in sales to rental-car fleets , LaNeve said .	down	The group was down	(3, 3)	(0, 3)	[(0, 1)]	train
f02 35 01	negative	negative	The group was down 11 % from a year ago , with big declines for the small Fiesta down 32 % , midsize Fusion down 12 % , and sporty Mustang down 23.5 % , mostly due to a decline in sales to rental-car fleets , LaNeve said .	declines for the small Fiesta down	declines for the small Fiesta	(13, 18)	(13, 17)	[(15, 17)]	train
f02 35 02	negative	negative	The group was down 11 % from a year ago , with big declines for the small Fiesta down 32 % , midsize Fusion down 12 % , and sporty Mustang down 23.5 % , mostly due to a decline in sales to rental-car fleets , LaNeve said .	declines for the small Fiesta down 32 % , midsize Fusion down	declines for the small Fiesta down 32 % , midsize Fusion	(13, 24)	(13, 23)	[(22, 23)]	train
f02 35 03	negative	negative	The group was down 11 % from a year ago , with big declines for the small Fiesta down 32 % , midsize Fusion down 12 % , and sporty Mustang down 23.5 % , mostly due to a decline in sales to rental-car fleets , LaNeve said .	declines for the small Fiesta down 32 % , midsize Fusion down 12 % , and sporty Mustang down	declines for the small Fiesta down 32 % , midsize Fusion down 12 % , and sporty Mustang	(13, 31)	(13, 30)	[(29, 30)]	train
f02 35 04	negative	negative	The group was down 11 % from a year ago , with big declines for the small Fiesta down 32 % , midsize Fusion down 12 % , and sporty Mustang down 23.5 % , mostly due to a decline in sales to rental-car fleets , LaNeve said .	decline in sales	decline in sales to rental-car fleets	(39, 41)	(39, 44)	[(43, 44)]	train
f02 36 00	negative	negative	Sales of the midsize Lincoln MKZ sedan also declined , by 14 % from a year ago .	declined	the midsize Lincoln MKZ sedan also declined	(8, 8)	(2, 8)	[(2, 6)]	train
f02 37 00	negative	negative	- Ford ' s fleet-sales gain appeared to come largely from a jump in sales to rental-car fleets , the least profitable type of fleet business .	fleet-sales gain	Ford ' s fleet-sales gain	(4, 5)	(1, 5)	[(1, 1)]	train
f02 37 01	positive	positive	- Ford ' s fleet-sales gain appeared to come largely from a jump in sales to rental-car fleets , the least profitable type of fleet business .	jump	jump in sales to rental-car fleets	(12, 12)	(12, 17)	[(16, 17)]	train
f02 37 02	negative	negative	- Ford ' s fleet-sales gain appeared to come largely from a jump in sales to rental-car fleets , the least profitable type of fleet business .	least profitable	Ford ' s fleet-sales gain appeared to come largely from a jump in sales to rental-car fleets , the least profitable	(20, 21)	(1, 21)	[(1, 1), (16, 17)]	train
f02 38 00	positive	positive	LaNeve said that the year-over-year jump in retail sales in May was due mostly to the timing of deliveries , and reiterated that Ford ' s rental-fleet sales for the full year should be roughly flat versus 2016 .	jump	jump	(5, 5)	(5, 5)	[]	train
f02 38 01	positive	positive	LaNeve said that the year-over-year jump in retail sales in May was due mostly to the timing of deliveries , and reiterated that Ford ' s rental-fleet sales for the full year should be roughly flat versus 2016 .	sales	Ford ' s rental-fleet sales	(27, 27)	(23, 27)	[(26, 26), (23, 23)]	train
f02 40 00	positive	positive	Ford got a new CEO in May : Jim Hackett took the reins from Mark Fields , who was ushered into retirement by Ford ' s board of directors .	CEO	Ford got a new CEO in May : Jim Hackett took the reins from Mark Fields	(4, 4)	(0, 15)	[(0, 0), (8, 9), (14, 15), (2, 4)]	train
f02 40 01	positive	positive	Ford got a new CEO in May : Jim Hackett took the reins from Mark Fields , who was ushered into retirement by Ford ' s board of directors .	retirement	Mark Fields , who was ushered into retirement by Ford ' s board of directors	(21, 21)	(14, 28)	[(14, 15), (22, 28)]	train
f02 41 00	positive	positive	One of the board ' s concerns : Ford ' s adjusted EBIT earnings before interest and taxes profit margin in North America fell to 8.3 % in the first quarter from 12.9 % a year ago , while rival GM managed a healthy 11.7 % .	earnings before interest and taxes profit margin in North America fell	Ford ' s adjusted EBIT earnings before interest and taxes profit margin in North America fell	(13, 23)	(8, 23)	[(8, 8)]	train
f02 41 01	positive	positive	One of the board ' s concerns : Ford ' s adjusted EBIT earnings before interest and taxes profit margin in North America fell to 8.3 % in the first quarter from 12.9 % a year ago , while rival GM managed a healthy 11.7 % .	managed	rival GM managed	(41, 41)	(39, 41)	[(39, 40)]	train
f02 44 00	positive	positive	From a U.S . sales perspective , I have thought and continue to think that Ford is playing its cards pretty well in a difficult market .	playing its cards pretty well	Ford is playing its cards pretty well	(17, 21)	(15, 21)	[(15, 15)]	train
f02 44 01	negative	negative	From a U.S . sales perspective , I have thought and continue to think that Ford is playing its cards pretty well in a difficult market .	difficult market	Ford is playing its cards pretty well in a difficult market	(24, 25)	(15, 25)	[(15, 15)]	train
f02 45 00	positive	positive	Ford has chosen to be conservative with incentives , preserving profitability at the cost of incremental sales and market share .	preserving profitability	Ford has chosen to be conservative with incentives , preserving profitability	(9, 10)	(0, 10)	[(0, 0)]	train
f02 45 01	positive	positive	Ford has chosen to be conservative with incentives , preserving profitability at the cost of incremental sales and market share .	incremental sales	Ford has chosen to be conservative with incentives , preserving profitability at the cost of incremental sales	(15, 16)	(0, 16)	[(0, 0)]	train
f02 45 02	positive	positive	Ford has chosen to be conservative with incentives , preserving profitability at the cost of incremental sales and market share .	market share	Ford has chosen to be conservative with incentives , preserving profitability at the cost of incremental sales and market share	(18, 19)	(0, 19)	[(0, 0)]	train
f02 46 00	negative	negative	That may not have looked like such a great choice in the first quarter , when sales slipped and some high costs cut into profits .	sales slipped	sales slipped	(16, 17)	(16, 17)	[]	train
f02 46 02	negative	negative	That may not have looked like such a great choice in the first quarter , when sales slipped and some high costs cut into profits .	cut into profits	cut into profits	(22, 24)	(22, 24)	[]	train
f02 46 03	positive	positive	That may not have looked like such a great choice in the first quarter , when sales slipped and some high costs cut into profits .	have looked like such a great choice	have looked like such a great choice	(3, 9)	(3, 9)	[]	train
f02 47 00	positive	positive	But rising inventories at GM and other competitors , along with falling used-car prices , might well combine to give the new-car market a ` ` double whammy ' ' before long .	rising inventories	rising inventories at GM and other competitors	(1, 2)	(1, 7)	[(4, 7)]	train
f02 47 01	negative	negative	But rising inventories at GM and other competitors , along with falling used-car prices , might well combine to give the new-car market a ` ` double whammy ' ' before long .	falling used-car prices	GM and other competitors , along with falling used-car prices	(11, 13)	(4, 13)	[(4, 7)]	train
f02 48 00	positive	positive	If so , Ford ' s decision to go against the industry grain , by keeping inventories trim and discounts restrained , could turn out to look pretty smart in retrospect .	go against the industry grain	Ford ' s decision to go against the industry	(8, 12)	(3, 11)	[(11, 11), (3, 3)]	train
f02 48 01	positive	positive	If so , Ford ' s decision to go against the industry grain , by keeping inventories trim and discounts restrained , could turn out to look pretty smart in retrospect .	keeping inventories trim and discounts restrained	Ford ' s decision to go against the industry grain , by keeping inventories trim and discounts restrained	(15, 20)	(3, 20)	[(3, 3)]	train
f02 48 02	positive	positive	If so , Ford ' s decision to go against the industry grain , by keeping inventories trim and discounts restrained , could turn out to look pretty smart in retrospect .	turn out to look pretty smart	Ford ' s decision to go against the industry grain , by keeping inventories trim and discounts restrained , could turn out to look pretty smart	(23, 28)	(3, 28)	[(3, 3)]	train
f03 00 00	positive	positive	May Auto Sales Results Reveal a New Leader Among Detroit Three	Auto Sales	Auto Sales	(1, 2)	(1, 2)	[]	train
f03 00 01	positive	positive	May Auto Sales Results Reveal a New Leader Among Detroit Three	Leader	Leader Among Detroit Three	(7, 7)	(7, 10)	[(9, 10)]	train
f03 01 00	positive	positive	Ford ended up selling more vehicles in the U.S . last month than General Motors , the usual No . 1 - - but there ' s more to the story .	selling	Ford ended up selling more vehicles	(3, 3)	(0, 5)	[(0, 0), (5, 5)]	train
f03 02 00	positive	positive	Despite automakers ' willingness to extend discounts and incentives over the Memorial Day holiday to boost their May sales a bit , U.S . light-vehicle sales declined a modest 0.5 % last month , year over year .	boost their May sales	automakers ' willingness to extend discounts and incentives over the Memorial Day holiday to boost their May sales	(15, 18)	(1, 18)	[(1, 1)]	train
f03 02 01	negative	negative	Despite automakers ' willingness to extend discounts and incentives over the Memorial Day holiday to boost their May sales a bit , U.S . light-vehicle sales declined a modest 0.5 % last month , year over year .	sales declined	automakers ' willingness to extend discounts and incentives over the Memorial Day holiday to boost their May sales a bit , U.S . light-vehicle sales declined	(25, 26)	(1, 26)	[(24, 24), (1, 1)]	train
f03 03 00	positive	positive	It was the third consecutive month that the seasonally adjusted annual rate of vehicle sales checked in below 17 million - - previously , the industry had topped that mark six consecutive times .	adjusted annual rate of vehicle sales checked in below	adjusted annual rate of vehicle sales checked in below	(9, 17)	(9, 17)	[]	train
f03 04 00	positive	positive	With that said , here are some highlights from Detroit automakers ' May sales data .	highlights	highlights	(7, 7)	(7, 7)	[]	train
f03 05 00	positive	positive	Trucks thrive	thrive	Trucks thrive	(1, 1)	(0, 1)	[(0, 0)]	train
f03 06 00	positive	positive	It was a solid month for Ford Motor Company investors - - at least when it comes to sales data .	solid month for Ford Motor Company investors - - at least when it comes to sales	solid month for Ford Motor Company	(3, 18)	(3, 8)	[(6, 8)]	train
f03 07 00	positive	positive	It was bumpy in terms of management stability , as Jim Hackett replaced Mark Fields as CEO .	replaced	Jim Hackett replaced Mark Fields	(12, 12)	(10, 14)	[(13, 14), (10, 11)]	train
f03 07 01	negative	negative	It was bumpy in terms of management stability , as Jim Hackett replaced Mark Fields as CEO .	bumpy in terms of management stability	bumpy in terms of management stability	(2, 7)	(2, 7)	[]	train
f03 08 00	positive	positive	But the Blue Oval tallied 241,126 units sold in the U.S . during May , a 2.2 % increase year over year .	sold	sold	(7, 7)	(7, 7)	[]	train
f03 09 00	positive	positive	That result was good enough not only to outsell its crosstown rival , General Motors - - which typically outsells all automakers in the U.S . - - but to beat the estimates of Kelley Blue Book , which had predicted a 1.2 % decline .	outsell its crosstown rival	outsell its crosstown rival , General Motors - - which typically outsells all automakers in the U.S	(8, 11)	(8, 24)	[(21, 24), (13, 14)]	train
f03 10 00	positive	positive	Ford ' s bright spots included truck sales reaching 99,237 units , a 9.4 % gain over the prior year ' s May , and SUV sales reaching 81,324 units , a 4.3 % gain .	sales	Ford ' s bright spots included truck sales	(7, 7)	(0, 7)	[(6, 6), (0, 0)]	train
f03 10 01	positive	positive	Ford ' s bright spots included truck sales reaching 99,237 units , a 9.4 % gain over the prior year ' s May , and SUV sales reaching 81,324 units , a 4.3 % gain .	sales	SUV sales	(26, 26)	(25, 26)	[(25, 25)]	train
f03 11 00	negative	negative	The strength of those two segments was enough to offset a 10 % decline in car sales , which dropped to 60,565 units .	decline in car sales	decline in car	(13, 16)	(13, 15)	[(15, 15)]	train
f03 12 00	positive	positive	Another positive aspect of Ford ' s strong truck and SUV sales is a consistently increasing average price tag .	sales	Ford ' s strong truck and SUV sales	(11, 11)	(4, 11)	[(8, 10), (4, 4)]	train
f03 13 00	positive	positive	In fact , Ford ' s average transaction prices jumped $ 2,100 last month , trouncing the industry-average gain of $ 500 .	average transaction prices jumped	Ford ' s average transaction prices jumped	(6, 9)	(3, 9)	[(3, 3)]	train
f03 13 01	positive	positive	In fact , Ford ' s average transaction prices jumped $ 2,100 last month , trouncing the industry-average gain of $ 500 .	trouncing	trouncing the industry-average	(15, 15)	(15, 17)	[(17, 17)]	train
f03 14 00	positive	positive	Better still was the pricing power of its bread-and-butter F-Series truck .	pricing power	pricing power	(4, 5)	(4, 5)	[]	train
f03 15 00	positive	positive	Sales of the F-Series jumped 12.8 % to 76,027 units during May , lifting it to its best May result in 13 years , and it recorded a $ 3,300 increase in average transaction prices .	Sales of the F-Series jumped	Sales of the F-Series	(0, 4)	(0, 3)	[(3, 3)]	train
f03 16 00	positive	positive	The Lincoln marque also continued to perform well , and increased its retail sales by 9.7 % in May , the brand ' s 16th straight month of year-over-year sales gains .	increased its retail sales	The Lincoln marque also continued to perform well , and increased its retail sales	(10, 13)	(0, 13)	[(0, 2)]	train
f03 16 01	positive	positive	The Lincoln marque also continued to perform well , and increased its retail sales by 9.7 % in May , the brand ' s 16th straight month of year-over-year sales gains .	year-over-year sales gains	the brand ' s 16th straight month of year-over-year sales gains	(28, 30)	(20, 30)	[(20, 21)]	train
f03 17 00	positive	positive	In fact , Lincoln is on pace to post its fourth straight annual sales gain for the first time this century .	sales gain	Lincoln is on pace to post its fourth straight annual sales gain	(13, 14)	(3, 14)	[(3, 3)]	train
f03 19 00	positive	positive	General Motors also faced some adversity in May , and while Detroit ' s largest automaker technically sold fewer vehicles than Ford in the U.S . last month , there ' s more to the story - - which we ' ll get to in a bit .	adversity	General Motors also faced some adversity	(5, 5)	(0, 5)	[(0, 1)]	train
f03 19 01	negative	negative	General Motors also faced some adversity in May , and while Detroit ' s largest automaker technically sold fewer vehicles than Ford in the U.S . last month , there ' s more to the story - - which we ' ll get to in a bit .	sold fewer	sold fewer	(17, 18)	(17, 18)	[]	train
f03 20 00	negative	negative	First the numbers : GM ' s total sales checked in at 237,364 units , down 1.3 % from the prior-year result .	sales	GM ' s total sales	(8, 8)	(4, 8)	[(4, 4)]	train
f03 21 00	negative	negative	In terms of brands , Chevrolet and GMC posted declines of 3.8 % and 5.2 % respectively , down to 162,950 units and 41,126 units .	declines	Chevrolet and GMC posted declines	(9, 9)	(5, 9)	[(5, 5)]	train
f03 21 01	negative	negative	In terms of brands , Chevrolet and GMC posted declines of 3.8 % and 5.2 % respectively , down to 162,950 units and 41,126 units .	declines	GMC posted declines of 3.8 % and 5.2 % respectively , down to 162,950 units and 41,126 units	(9, 9)	(7, 24)	[(23, 24), (7, 7)]	train
f03 22 00	positive	positive	On the flip side , Buick and Cadillac posted gains of 28.5 % and 9.2 % , respectively , albeit on far lower volumes of 20,077 units and 13,211 units .	gains	Buick and Cadillac posted gains	(9, 9)	(5, 9)	[(5, 5)]	train
f03 22 01	positive	positive	On the flip side , Buick and Cadillac posted gains of 28.5 % and 9.2 % , respectively , albeit on far lower volumes of 20,077 units and 13,211 units .	gains	Cadillac posted gains	(9, 9)	(7, 9)	[(7, 7)]	train
f03 24 00	positive	positive	Ford ' s fleet sales increased 200 basis points to 34.4 % of total sales , while for General Motors , they checked in much lower , at 19.4 % of total sales .	sales increased	Ford ' s fleet sales increased	(4, 5)	(0, 5)	[(3, 3), (0, 0)]	train
f03 24 01	negative	negative	Ford ' s fleet sales increased 200 basis points to 34.4 % of total sales , while for General Motors , they checked in much lower , at 19.4 % of total sales .	checked in	fleet sales increased 200 basis points to 34.4 % of total sales , while for General Motors , they checked in	(22, 23)	(3, 23)	[(3, 3), (18, 19)]	train
f03 25 00	positive	positive	That will come as no surprise to many , as Ford ' s fleet sales have been elevated during the first half of 2017 and will decline some in the back half , while GM has made it a priority to reduce fleet sales overall .	sales have been elevated	Ford ' s fleet sales have been elevated	(14, 17)	(10, 17)	[(13, 14), (10, 10)]	train
f03 25 02	negative	negative	That will come as no surprise to many , as Ford ' s fleet sales have been elevated during the first half of 2017 and will decline some in the back half , while GM has made it a priority to reduce fleet sales overall .	reduce fleet sales	GM has made it a priority to reduce fleet sales	(41, 43)	(34, 43)	[(42, 43), (34, 34)]	train
f03 26 00	positive	positive	General Motors did take a real second place versus Ford in the pickup wars last month .	second place	General Motors did take a real second place versus Ford in the pickup wars	(6, 7)	(0, 13)	[(12, 13), (0, 1), (9, 9)]	train
f03 27 00	negative	negative	Sales of GM ' s bread-and-butter trucks , the Chevrolet Silverado and GMC Sierra , were down a respective 2.7 % and 8.2 % , to 43,804 units and 16,200 units - - or a combined 60,004 units for the sister models .	Sales of GM ' s bread-and-butter trucks , the Chevrolet Silverado and GMC Sierra , were down	Sales of GM ' s bread-and-butter trucks , the Chevrolet Silverado	(0, 16)	(0, 10)	[(2, 2), (9, 10)]	train
f03 27 01	negative	negative	Sales of GM ' s bread-and-butter trucks , the Chevrolet Silverado and GMC Sierra , were down a respective 2.7 % and 8.2 % , to 43,804 units and 16,200 units - - or a combined 60,004 units for the sister models .	were down	GM ' s bread-and-butter trucks , the Chevrolet Silverado and GMC Sierra , were down	(15, 16)	(2, 16)	[(2, 2), (12, 13)]	train
f03 28 00	positive	positive	On the bright side , GM ' s average transaction prices did move higher , up more than $ 640 sequentially compared to April , and its incentive spending as a percentage of average transaction prices was 11.6 % , lower than GM averaged in 2016 .	average transaction prices did move higher	GM ' s average transaction prices did move higher	(8, 13)	(5, 13)	[(5, 5)]	train
f03 28 01	negative	negative	On the bright side , GM ' s average transaction prices did move higher , up more than $ 640 sequentially compared to April , and its incentive spending as a percentage of average transaction prices was 11.6 % , lower than GM averaged in 2016 .	lower	GM ' s average transaction prices did move higher , up more than $ 640 sequentially compared to April , and its incentive spending as a percentage of average transaction prices was 11.6 % , lower	(40, 40)	(5, 40)	[(5, 5)]	train
f03 30 00	negative	negative	Fiat Chrysler Automobiles remains a significant distance behind its Detroit counterparts in terms of overall U.S . sales :	remains a significant distance behind	Fiat Chrysler Automobiles remains a significant distance behind	(3, 7)	(0, 7)	[(0, 2)]	train
f03 31 00	negative	negative	FCA sold 193,040 units last month , which was a 1 % decline compared to the prior year .	sold 193,040 units last month , which was a 1 % decline	FCA sold 193,040 units last month , which was a 1 % decline	(1, 12)	(0, 12)	[(0, 0)]	train
f03 33 00	positive	positive	A couple of the positives for FCA investors were its level of fleet sales and the surge in its Ram Truck brand sales .	level of fleet sales	FCA investors were its level of fleet sales	(10, 13)	(6, 13)	[(6, 6)]	train
f03 33 01	positive	positive	A couple of the positives for FCA investors were its level of fleet sales and the surge in its Ram Truck brand sales .	surge in its Ram Truck brand sales	FCA investors were its level of fleet sales and the surge in its Ram Truck	(16, 22)	(6, 20)	[(19, 20), (6, 6)]	train
f03 34 00	positive	positive	FCA ' s retail sales were up 1 % year over year to 152,227 units , and accounted for 79 % of its total sales .	were up	FCA ' s retail sales were up	(5, 6)	(0, 6)	[(0, 0), (3, 4)]	train
f03 35 00	positive	positive	That means its fleet sales sat at about 21 % of total sales , a level much closer to General Motors , rather than Ford , which is a healthy sign for margins .	sat at	fleet sales sat at	(5, 6)	(3, 6)	[(3, 4)]	train
f03 35 01	positive	positive	That means its fleet sales sat at about 21 % of total sales , a level much closer to General Motors , rather than Ford , which is a healthy sign for margins .	margins	margins	(32, 32)	(32, 32)	[]	train
f03 35 02	positive	positive	That means its fleet sales sat at about 21 % of total sales , a level much closer to General Motors , rather than Ford , which is a healthy sign for margins .	level much closer	level much closer	(15, 17)	(15, 17)	[]	train
f03 36 00	positive	positive	Ram pickup truck sales jumped 16 % year over year , and the Ram Truck brand sales - - which includes the Ram ProMaster and ProMaster City vans - - were up 18 % .	sales jumped	Ram pickup truck sales jumped	(3, 4)	(0, 4)	[(0, 2)]	train
f03 36 01	positive	positive	Ram pickup truck sales jumped 16 % year over year , and the Ram Truck brand sales - - which includes the Ram ProMaster and ProMaster City vans - - were up 18 % .	sales - - which includes the Ram ProMaster and ProMaster City vans - - were up	the Ram Truck brand sales - - which includes the Ram ProMaster and ProMaster City vans - - were up	(16, 31)	(12, 31)	[(12, 29)]	train
f03 37 00	positive	positive	One of the brightest spots for FCA investors over the past few years has been the rapid growth in Jeep ' s U.S . sales .	growth in Jeep ' s U.S . sales	FCA investors over the past few years has been the rapid growth in Jeep	(17, 24)	(6, 19)	[(6, 6), (19, 19)]	train
f03 38 00	negative	negative	Unfortunately , that story has since cooled , and the brand posted a significant 15 % decline in sales last month , down to 75,516 units .	decline in sales	the brand posted a significant 15 % decline in sales last month , down to 75,516 units	(16, 18)	(9, 25)	[(24, 25), (9, 10)]	train
f03 39 00	negative	negative	That ' s been the trend for much of 2017 , with Jeep ' s year-to-date sales down 13 % .	sales down	Jeep ' s year-to-date sales down	(16, 17)	(12, 17)	[(12, 12), (12, 16)]	train
f03 41 00	positive	positive	Despite the industry remaining healthy , it ' s likely that automakers pushed holiday deals to help squeeze extra sales out of May , which could sap some early sales from June , leading to slightly weaker numbers this month - - stay tuned .	squeeze extra sales	automakers pushed holiday deals to help squeeze extra sales	(17, 19)	(11, 19)	[(11, 11)]	train
f03 41 01	positive	positive	Despite the industry remaining healthy , it ' s likely that automakers pushed holiday deals to help squeeze extra sales out of May , which could sap some early sales from June , leading to slightly weaker numbers this month - - stay tuned .	sap some early sales	automakers pushed holiday deals to help squeeze extra sales out of May , which could sap some early sales	(26, 29)	(11, 29)	[(11, 11)]	train
f03 41 02	positive	positive	Despite the industry remaining healthy , it ' s likely that automakers pushed holiday deals to help squeeze extra sales out of May , which could sap some early sales from June , leading to slightly weaker numbers this month - - stay tuned .	remaining healthy	industry remaining healthy	(3, 4)	(2, 4)	[(2, 2)]	train
f04 00 00	positive	positive	Forget Mexico : Ford Moving Focus Production From U.S . To China , With Eye On Profitability	Moving Focus Production	Ford Moving Focus Production	(4, 6)	(3, 6)	[(5, 6), (3, 3)]	train
f04 00 01	positive	positive	Forget Mexico : Ford Moving Focus Production From U.S . To China , With Eye On Profitability	Eye On Profitability	Ford Moving Focus Production From U.S . To China , With Eye On Profitability	(14, 16)	(3, 16)	[(3, 3)]	train
f04 02 00	negative	negative	The small car is a good value for many buyers , but sales are declining and the company loses money making them .	sales are declining	The small car is a good value for many buyers , but sales are declining and the company	(12, 14)	(0, 17)	[(16, 17), (0, 2)]	train
f04 02 01	negative	negative	The small car is a good value for many buyers , but sales are declining and the company loses money making them .	loses money	the company loses money	(18, 19)	(16, 19)	[(16, 17)]	train
f04 03 00	positive	positive	So an all-new Focus will be built in China and exported to the U.S .	all-new Focus will be built	all-new Focus will be built	(2, 6)	(2, 6)	[(2, 3)]	train
f04 04 00	positive	positive	Ford has a new CEO , and already the company is changing its Focus - - literally .	new CEO	Ford has a new CEO	(3, 4)	(0, 4)	[(0, 0), (4, 4)]	train
f04 05 00	positive	positive	And we will have to watch Twitter to see if President Trump approves of the changes .	approves of the changes	approves of the changes	(12, 15)	(12, 15)	[]	train
f04 06 00	positive	positive	The automaker that has been so much on the president ' s radar screen this year said today that it will move production of the Focus compact car from Michigan to China when it introduces an all-new model in 2019 , reversing a previous plan to move assembly of the car to a plant in Mexico .	move production	The automaker that has been so much on the president ' s radar screen this year said today that it will move production of the Focus compact	(21, 22)	(0, 26)	[(0, 1), (22, 26)]	train
f04 06 01	positive	positive	The automaker that has been so much on the president ' s radar screen this year said today that it will move production of the Focus compact car from Michigan to China when it introduces an all-new model in 2019 , reversing a previous plan to move assembly of the car to a plant in Mexico .	introduces	The automaker that has been so much on the president ' s radar screen this year said today that it will move production of the Focus compact car from Michigan to China when it introduces an all-new model	(34, 34)	(0, 37)	[(35, 37), (0, 1)]	train
f04 06 02	positive	positive	The automaker that has been so much on the president ' s radar screen this year said today that it will move production of the Focus compact car from Michigan to China when it introduces an all-new model in 2019 , reversing a previous plan to move assembly of the car to a plant in Mexico .	move assembly	The automaker that has been so much on the president ' s radar screen this year said today that it will move production of the Focus compact car from Michigan to China when it introduces an all-new model in 2019 , reversing a previous plan to move assembly of the car to a plant in Mexico	(46, 47)	(0, 55)	[(47, 55), (0, 1)]	train
f04 07 00	positive	positive	The Michigan-to-Mexico move was loudly decried by Trump even though it meant no loss of U.S . jobs , as Ford planned to replace the Focus production in Michigan with two new vehicles .	Michigan-to-Mexico move	Michigan-to-Mexico move	(1, 2)	(1, 2)	[]	train
f04 07 01	negative	negative	The Michigan-to-Mexico move was loudly decried by Trump even though it meant no loss of U.S . jobs , as Ford planned to replace the Focus production in Michigan with two new vehicles .	decried	decried	(5, 5)	(5, 5)	[]	train
